NAME,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"CANYONLANDS THE NEEDLES, UT US",9.0,9.0,12.0,12.0,10.0,12.0,12.0,12.0,10.0,10.0,7.0,11.0,9.0,12.0,12.0,11.0,12.0,10.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0
"CAPITOL REEF NATIONAL PARK, UT US",12.0,12.0,12.0,12.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,8.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"CART CREEK UTAH, UT US",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CASCADE MOUNTAIN, UT US",,,,,,,,,,,2.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"CASTLE DALE 0.8 NW, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,9.0
"CASTLE DALE, UT US",12.0,12.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,4.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"CASTLE VALLEY 0.6 W, UT US",,,,,,,,,,,,,,,,,,,2.0,3.0,5.0,9.0,11.0,11.0,10.0,12.0,10.0,11.0,12.0,11.0,12.0
"CASTLE VALLEY 0.7 WNW, UT US",,,,,,,,,,,,,,,,,,,,,,,,6.0,11.0,11.0,12.0,11.0,12.0,1.0,
"CASTLE VALLEY 1 NE, UT US",,,,,,,,,,,,,,,,,,5.0,12.0,11.0,11.0,12.0,10.0,,,,,,,,
"CASTLE VALLEY 1 SE, UT US",,,,,,,,,,,,,,,,,,,,,,,,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"CASTLE VALLEY, UT US",24.0,24.0,24.0,12.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,23.0,12.0,23.0,22.0,16.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"CASTLEDALE HTR UP AND L, UT US",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,7.0,,,,,,,,,,,,,,,,
"CEDAR BREAKS N.M., UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,0.0,3.0,3.0
