NAME,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"BRIAN HEAD, UT US",35.3,39.43,36.25,449.6,32.92,38.85,41.85,29.28,32.44,31.68,19.54,23.8,40.34,43.2,322.5,23.81,11.940000000000001,9.62,,6.48,31.29,26.95,25.13,32.15,28.15,30.27,26.47,41.27,14.18,31.04,26.97
"BRIGHAM CITY 0.6 W, UT US",,,,,,,,,,,,,,,,,,,,,,,,2.4699999999999998,22.91,19.14,14.98,25.57,9.93,16.55,18.36
"BRIGHAM CITY 1.2 N, UT US",,,,,,,,,,,,,,,,,6.49,25.22,26.83,28.8,16.64,17.78,19.66,13.58,27.23,19.47,16.39,27.75,11.66,18.33,19.29
"BRIGHAM CITY 28 WNW, UT US",,,,,,,,,,,,,,,,1.91,9.65,16.0,16.33,13.2,9.72,8.21,15.24,13.49,16.689999999999998,15.83,11.16,20.88,9.05,9.95,11.29
"BRIGHAM CITY WASTE PLANT, UT US",12.75,20.87,15.05,24.0,17.759999999999998,13.91,23.9,12.91,13.05,11.55,11.99,8.1,17.240000000000002,22.61,33.0,11.91,7.71,12.78,15.42,17.759999999999998,10.33,10.34,15.459999999999999,17.41,20.46,16.14,12.55,21.89,7.06,9.4,13.6
"BRIGHTON, UT US",34.85,48.82,43.22,0.0,53.97,41.82,47.24,39.14,37.92,37.25,31.78,36.66,42.74,47.95,0.0,32.57,46.05,37.94,53.95,42.050000000000004,34.14,30.24,40.67,34.52,40.35,44.67,35.96,49.65,25.57,43.58,37.53
"BRIMSTONE RES. MILFORD 20 WSW, UT US",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BROWN DUCK, UT US",25.82,33.65,32.71,0.0,42.79,38.0,43.51,37.54,34.64,27.419999999999998,25.74,32.51,38.84,38.85,0.0,26.12,31.939999999999998,31.419999999999998,41.46,39.06,24.54,29.7,33.53,29.01,32.81,34.96,26.75,42.449999999999996,19.03,35.72,27.63
"BRUIN POINT SUNNYSIDE 6 NNE U, UT US",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BRYCE CANYON AIRPORT, UT US",,,,,,,,,0.35,9.28,6.86,9.82,13.959999999999999,12.83,0.0,8.959999999999999,6.55,6.38,16.55,12.02,9.35,16.46,14.129999999999999,17.740000000000002,11.23,9.65,9.7,14.05,4.95,11.4,9.42
"BRYCE CANYON NATIONAL PARK HQRS, UT US",21.81,25.07,13.99,112.8,10.33,21.83,23.42,11.79,18.45,13.14,9.0,10.790000000000001,21.83,21.9,86.1,9.32,5.08,8.78,24.240000000000002,14.24,12.58,20.04,13.450000000000001,29.4,15.75,11.23,12.42,21.98,9.26,15.620000000000001,14.26
"BRYCE CANYON UTAH, UT US",,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BRYSON CANYON UTAH, UT US",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BUCK FLAT ESCALANTE 10 NW UTA, UT US",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BUCK FLAT, UT US",26.59,32.36,26.07,0.0,37.480000000000004,38.58,35.73,27.95,31.560000000000002,27.66,24.25,26.25,31.74,36.42,0.0,26.05,24.34,31.35,37.35,34.660000000000004,24.37,29.259999999999998,32.66,26.95,30.93,32.47,27.67,35.56,19.25,31.54,28.55
"BUCK PASTURE, UT US",,,,,,,,,,,,,,,,,,,,0.0,8.26,27.07,35.56,25.23,33.6,33.68,26.37,33.54,22.82,33.38,31.75
"BUCKBOARD FLAT, UT US",,,,,,,,,,,,,,,,,,,,,5.3,29.48,23.17,37.05,31.35,22.78,26.39,38.68,17.89,32.2,28.77
"BUES CANYON UTAH, UT US",0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BUG LAKE, UT US",20.75,30.509999999999998,26.02,0.0,41.01,32.43,35.2,30.07,26.03,21.35,21.85,26.47,28.56,32.54,0.0,20.97,26.92,27.95,36.94,36.160000000000004,24.66,24.24,36.19,27.13,31.76,42.76,24.56,35.04,23.27,28.36,25.45
"BULLFROG 8 N, UT US",,,,,,,,0.06,1.53,4.83,,,,,,,,,,,,,,,,,,,,,
"BULLFROG BASIN, UT US",,,,,,7.03,7.470000000000001,4.48,3.5300000000000002,5.3,5.51,4.25,6.28,6.49,2.7,6.32,3.52,3.42,10.91,1.9500000000000002,2.8200000000000003,7.71,4.64,9.61,6.19,5.85,6.36,8.25,3.19,3.82,2.77
"BURTS MILLER RANCH, UT US",,,,,,,,,,,,,,,,,,4.97,23.84,26.38,11.719999999999999,12.17,13.43,10.33,13.45,16.45,9.95,14.65,9.540000000000001,13.83,17.66
"CALLAO, UT US",4.78,7.71,5.68,7.0,6.4399999999999995,10.6,9.82,4.71,6.46,4.49,4.14,6.18,7.09,9.14,1.5,3.88,3.58,7.59,8.08,9.66,5.64,6.92,5.59,6.89,7.21,6.17,5.49,10.9,2.9699999999999998,5.71,6.13
"CAMP JACKSON, UT US",38.06,38.04,30.650000000000002,0.0,24.45,33.87,30.84,24.560000000000002,28.06,24.35,18.39,25.48,32.54,39.26,0.0,26.759999999999998,32.75,24.56,38.94,26.96,20.09,31.240000000000002,22.34,34.74,35.16,22.28,23.759999999999998,41.99,14.18,30.47,22.39
"CANYON BREEZE RANCH, UT US",,,,,,,,,,,,,,,,9.5,16.560000000000002,12.13,,,0.48,,,,,,,,,,
"CANYONLANDS THE NECK, UT US",6.91,11.11,5.43,5.3999999999999995,7.859999999999999,9.22,10.34,11.209999999999999,7.85,9.2,7.54,7.35,10.11,8.620000000000001,24.9,10.18,8.459999999999999,3.17,10.53,9.209999999999999,6.54,9.1,9.78,15.43,8.549999999999999,6.699999999999999,8.02,10.3,5.62,10.72,12.74
"CANYONLANDS THE NEEDLES, UT US",5.28,7.02,7.510000000000001,2.0,6.0600000000000005,10.200000000000001,8.2,10.29,5.23,6.4,4.74,6.0,7.61,9.49,24.0,9.45,8.45,4.29,8.6,5.01,5.88,8.51,7.55,13.66,8.32,6.99,8.28,9.17,3.9499999999999997,7.6899999999999995,8.91
"CAPITOL REEF NATIONAL PARK, UT US",8.49,9.16,6.84,15.3,4.88,11.64,8.74,6.4,6.590000000000001,8.16,4.75,5.74,9.34,10.31,8.2,5.42,3.73,4.87,12.91,8.31,5.21,12.35,6.68,11.97,7.8,6.510000000000001,6.12,8.87,4.71,10.83,4.39
"CART CREEK UTAH, UT US",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CASCADE MOUNTAIN, UT US",,,,,,,,,,,6.8,34.95,34.96,49.24,0.0,33.54,29.869999999999997,41.69,43.66,35.75,29.06,23.63,33.47,30.17,28.87,31.37,28.35,39.26,19.94,37.449999999999996,27.240000000000002
"CASTLE DALE 0.8 NW, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5300000000000002,2.65
"CASTLE DALE, UT US",8.8,11.14,5.83,4.0,9.05,11.73,9.43,7.72,8.05,7.1,5.21,5.32,11.24,9.450000000000001,28.0,8.1,4.87,4.04,8.34,1.93,4.7,9.68,7.17,10.92,8.43,6.24,8.46,9.61,4.7,7.35,4.72
"CASTLE VALLEY 0.6 W, UT US",,,,,,,,,,,,,,,,,,,1.6600000000000001,2.46,1.54,11.83,11.72,15.89,9.27,9.43,8.5,13.64,6.53,9.620000000000001,12.16
"CASTLE VALLEY 0.7 WNW, UT US",,,,,,,,,,,,,,,,,,,,,,,,10.01,9.54,9.4,10.15,15.96,6.4799999999999995,0.38,
"CASTLE VALLEY 1 NE, UT US",,,,,,,,,,,,,,,,,,3.37,11.82,5.52,3.7,10.59,8.57,,,,,,,,
"CASTLE VALLEY 1 SE, UT US",,,,,,,,,,,,,,,,,,,,,,,,16.3,11.86,8.82,10.39,15.87,6.45,13.26,13.55
"CASTLE VALLEY, UT US",39.0,43.23,34.52,0.5,38.82,41.92,43.19,33.79,35.74,29.48,20.99,26.88,39.82,44.05,16.5,31.08,32.730000000000004,23.65,39.03,27.66,25.38,27.36,20.97,28.169999999999998,24.81,27.25,23.99,35.97,11.58,27.59,25.47
"CASTLEDALE HTR UP AND L, UT US",11.39,8.66,6.3999999999999995,3.5,8.28,13.2,8.87,6.779999999999999,10.17,6.59,7.06,7.8100000000000005,8.9,7.63,12.0,,,,,,,,,,,,,,,,
"CEDAR BREAKS N.M., UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,4.5,0.0,6.6499999999999995,6.7
"CEDAR CITY 1.8 S, UT US",,,,,,,,,,,,,,,,,0.26,3.2,4.84,1.12,3.55,5.57,1.16,0.95,2.6500000000000004,6.5,0.58,,,,
"CEDAR CITY 18 SSE, UT US",,,,,,,,,,,,,,,,,,,19.41,17.38,18.71,15.690000000000001,4.26,,,,,,,,
"CEDAR CITY 4.4 SW, UT US",,,,,,,,,,,,,,,,,,,,,,,,,8.04,10.92,13.63,17.68,6.7299999999999995,10.709999999999999,12.72
"CEDAR CITY 5 E, UT US",10.5,14.870000000000001,6.91,53.400000000000006,15.68,12.209999999999999,18.72,9.04,5.57,4.180000000000001,5.24,9.7,18.46,22.13,71.0,13.53,15.8,13.08,26.939999999999998,9.790000000000001,16.69,19.12,17.64,23.990000000000002,15.78,16.39,18.81,24.29,8.53,17.95,15.0
"CEDAR CITY 5.6 NW, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,6.0600000000000005,7.43,7.08,7.55,10.239999999999998
"CEDAR CITY 6.2 NNW, UT US",,,,,,,,,,,,,,,,,5.92,5.62,19.07,14.34,10.370000000000001,11.91,4.34,,,,,,,,
"CEDAR CITY AIRPORT, UT US",11.56,11.03,10.809999999999999,25.1,10.53,10.74,12.91,7.09,13.059999999999999,9.74,5.24,8.84,12.82,13.870000000000001,0.0,9.86,9.61,8.86,16.43,15.24,12.27,14.99,9.82,13.370000000000001,10.77,9.57,9.48,13.059999999999999,4.8100000000000005,10.33,7.8
"CEDAR CITY, UT US",,,,,,,,,10.35,12.14,7.5600000000000005,8.83,15.2,14.78,69.7,11.399999999999999,11.09,9.39,19.08,6.97,6.87,13.65,12.879999999999999,16.29,9.68,6.62,7.49,4.75,5.54,8.77,11.059999999999999
"CEDAR MOUNTAINS STOCKTON 24 W, UT US",0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CEDAR POINT, UT US",17.09,21.12,15.549999999999999,55.0,15.47,21.57,15.48,13.17,13.82,11.83,8.98,11.290000000000001,16.830000000000002,19.41,39.5,16.01,14.04,9.44,18.36,10.36,8.76,15.06,11.02,21.64,14.76,11.37,1.28,,,,
"CEDAR VALLEY 1.9 S, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6600000000000001,4.16,11.190000000000001,9.14
"CENTERVILLE 0.8 NE, UT US",,,,,,,,,,,,,,,,,8.57,25.490000000000002,26.89,29.91,20.47,20.04,14.51,,18.380000000000003,23.16,18.26,23.96,2.16,,
"CENTERVILLE 1.3 N, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.09,16.57,11.68
"CHALK CREEK NUMBER 1, UT US",33.730000000000004,42.55,35.69,0.0,49.010000000000005,40.72,44.88,38.42,37.64,31.74,28.740000000000002,35.61,35.63,40.4,0.0,33.68,42.05,44.66,49.12,44.589999999999996,31.16,32.07,36.67,31.75,38.36,46.97,27.47,35.67,24.6,37.85,36.45
"CHALK CREEK NUMBER 2, UT US",24.65,33.54,26.44,0.0,32.91,32.01,33.36,27.62,28.03,26.25,23.35,29.54,30.150000000000002,30.75,0.0,25.740000000000002,30.41,34.72,36.45,33.87,23.45,25.36,29.619999999999997,23.349999999999998,28.759999999999998,33.57,21.74,31.54,17.52,32.72,29.04
"CHEPETA UTAH, UT US",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
